Start Time (s),End Time (s),AVG Peak,STD Peak,AVG Trough,STD Trough,FMA,Total Power,Label bin, Label
107.0796783,117.0796783,1.918134849,0.504796214,-2.006711001,0.640223425,1.49852717,3002849686,0,
108.0796783,118.0796783,1.880948471,0.546444497,-2.351456815,0.499223149,0,3195451110,0,
109.0796783,119.0796783,2.191198515,0.603023053,-2.155915008,0.590707109,0,3260594618,0,
110.0796783,120.0796783,2.168734358,0.453790744,-2.023416814,0.564968989,0,3310375986,0,
111.0796783,121.0796783,2.222795595,0.604634537,-2.439634629,0.458359145,0,3417809910,0,
112.0796783,122.0796783,2.391336538,0.552011342,-2.286794007,0.606060337,1.29877193,3386747480,0,
113.0796783,123.0796783,2.195691902,0.500824055,-1.933917565,0.547018124,1.198803435,3436516468,0,
114.0796783,124.0796783,2.300855921,0.586773177,-2.356972842,0.589668836,1.203623504,3020109249,0,
115.0796783,125.0796783,2.222807242,0.51676129,-2.425425386,0.558462465,1.203731065,2889164049,0,
116.0796783,126.0796783,2.42104488,0.49908149,-2.37420896,0.611663449,1.203542527,2954340345,0,
117.0796783,127.0796783,2.244893526,0.580973843,-2.367094504,0.601811046,1.203580123,2946824870,0,
118.0796783,128.0796783,2.334509033,0.577546643,-2.631301871,0.467180656,1.203652947,2952497909,0,
119.0796783,129.0796783,2.176229152,0.535788636,-2.256026501,0.613809211,1.203558731,3157628336,0,
120.0796783,130.0796783,2.079593828,0.566912606,-2.086344931,0.703596048,1.198903208,3168262490,0,
121.0796783,131.0796783,2.361672685,0.585925859,-2.311920065,0.626809957,0,2923510754,0,
122.0796783,132.0796783,2.316162193,0.562240361,-2.104184367,0.596751504,1.298692845,2798181500,0,
123.0796783,133.0796783,2.234653635,0.53036531,-2.231631294,0.537496846,1.298779109,2542492272,0,
124.0796783,134.0796783,2.313256821,0.540727196,-2.254877649,0.652544032,1.398662466,2357555824,0,
125.0796783,135.0796783,2.41283205,0.534952222,-1.975837768,0.578686943,1.39857915,2171723690,0,
126.0796783,136.0796783,2.291309855,0.503630231,-2.280448074,0.579040786,1.398613421,1997510730,0,
127.0796783,137.0796783,2.133972737,0.646611507,-2.227248294,0.622084745,1.398535147,1921680002,0,
128.0796783,138.0796783,2.086855314,0.589167122,-2.216586421,0.628993142,1.397298864,1806948310,0,
129.0796783,139.0796783,2.358829116,0.449991119,-2.226096472,0.581520882,1.397266856,1650293806,0,
130.0796783,140.0796783,2.164347947,0.649067583,-2.062676442,0.670360433,1.398540561,1476678120,0,
131.0796783,141.0796783,2.023619315,0.684720101,-2.214245578,0.577060626,1.398599294,1371031864,0,
132.0796783,142.0796783,2.560945471,0.440303887,-2.544591846,0.387238057,1.398589966,1248476316,0,
133.0796783,143.0796783,1.926863516,0.636505903,-2.415331123,0.569937158,1.398572347,1144758240,0,
134.0796783,144.0796783,2.089636858,0.64083544,-2.022976752,0.634821296,1.398670308,1051989040,0,
135.0796783,145.0796783,2.066122883,0.570601115,-2.099831221,0.593962641,1.398524248,1021977398,0,
136.0796783,146.0796783,2.008258309,0.727881753,-2.326047541,0.628736274,1.398553382,1000584742,0,
137.0796783,147.0796783,2.670834456,0.496558951,-2.551323911,0.690979519,1.398655718,957849900,0,
138.0796783,148.0796783,2.216083771,0.660446831,-1.996869046,0.682419194,1.400076273,998855116,0,
139.0796783,149.0796783,2.421602039,0.488800914,-2.273152722,0.514881007,1.398615315,1029535302,0,
140.0796783,150.0796783,2.241050379,0.638848075,-2.206915996,0.599540302,1.398560971,1256331562,0,
141.0796783,151.0796783,2.205672219,0.716781822,-2.240550977,0.58364485,1.404277653,1514716061,0,
142.0796783,152.0796783,1.931988625,0.576851745,-1.862429707,0.482436921,1.398601876,1847558440,0,
143.0796783,153.0796783,2.135524282,0.60315237,-2.061998525,0.581484122,1.398683945,2121548754,0,
144.0796783,154.0796783,2.164345338,0.672855714,-1.924305906,0.563497046,1.404093401,2378964299,0,
145.0796783,155.0796783,2.457388511,0.508202189,-2.47922463,0.581824168,1.398591004,2486145176,0,
146.0796783,156.0796783,2.32001121,0.499494439,-2.332778311,0.548901748,1.203627249,2627094260,0,
147.0796783,157.0796783,1.812726875,0.726004884,-1.903293352,0.505512983,1.303886674,2796854831,0,
148.0796783,158.0796783,2.093209653,0.596187274,-2.243259592,0.503685895,1.202299575,2929773879,0,
149.0796783,159.0796783,2.029287224,0.605587537,-1.959870855,0.556170141,1.20360165,3010386480,0,
150.0796783,160.0796783,2.247511673,0.6580398,-2.029361478,0.569597418,1.20359451,3066302712,0,
151.0796783,161.0796783,2.203444755,0.58959768,-2.216018051,0.62430991,1.298716188,3024798342,0,
152.0796783,162.0796783,2.51120827,0.436955077,-2.439030856,0.578818633,1.30397384,2864173724,0,
153.0796783,163.0796783,2.325097501,0.494397359,-2.171316815,0.64813395,1.303890902,2956827347,0,
154.0796783,164.0796783,2.250156764,0.617152479,-2.34919619,0.504812256,1.298791928,2820999460,0,
155.0796783,165.0796783,2.031784453,0.637394623,-1.962270073,0.61419248,1.404156109,2935205877,0,
156.0796783,166.0796783,1.961628482,0.631853811,-2.27822233,0.510622592,1.398561798,2881041074,0,
157.0796783,167.0796783,2.030311431,0.486849901,-1.890393769,0.449371572,1.398545555,2841126500,0,
158.0796783,168.0796783,1.942008761,0.58557603,-2.041342521,0.533151951,1.398712847,3023692422,0,
159.0796783,169.0796783,2.275093442,0.536587157,-2.066137199,0.643539769,1.398570131,3104350162,0,
160.0796783,170.0796783,2.28527926,0.46340748,-2.49390528,0.449427692,1.398711486,3024320866,0,
161.0796783,171.0796783,2.295027978,0.542598319,-2.208666959,0.559463776,1.198853314,3014059412,0,
162.0796783,172.0796783,2.354612575,0.524825774,-2.276584014,0.593100613,1.19886006,3154604756,0,
163.0796783,173.0796783,2.164781768,0.642317216,-2.238670935,0.597013567,1.198817371,3110371546,0,
164.0796783,174.0796783,2.330368124,0.598343032,-1.91566942,0.480094512,1.198692619,3230830860,0,
165.0796783,175.0796783,2.390981164,0.575057318,-2.4462718,0.536393877,1.198802149,3034084180,0,
166.0796783,176.0796783,2.373549215,0.530646747,-2.329877323,0.578104295,1.198752491,3157448658,0,
167.0796783,177.0796783,2.458927385,0.441515743,-2.274834259,0.514609871,1.197551296,3246936850,0,
168.0796783,178.0796783,2.33947575,0.553922336,-2.316242396,0.687063841,1.198787275,3170968762,0,
169.0796783,179.0796783,2.470606217,0.514593055,-2.334911382,0.542956732,0,3346887610,0,
170.0796783,180.0796783,2.215069481,0.628001852,-2.162556132,0.581290621,1.298586653,3293908550,0,
171.0796783,181.0796783,2.4252067,0.536401843,-2.295085236,0.629957684,1.298747309,3280811050,0,
172.0796783,182.0796783,2.129827699,0.629026652,-1.8925159,0.535720532,1.398579768,3056242750,0,
173.0796783,183.0796783,2.444371523,0.555693711,-2.488961893,0.445036059,1.398467863,2764273980,0,
174.0796783,184.0796783,2.008443907,0.524554006,-1.913644784,0.593111927,1.398582713,2672939528,0,
175.0796783,185.0796783,2.097134099,0.615244165,-2.141628403,0.553182957,1.398505088,2672677542,0,
176.0796783,186.0796783,2.170686672,0.690260034,-2.109161137,0.572194654,1.398521807,2479321670,0,
177.0796783,187.0796783,2.201714708,0.632898062,-2.279111589,0.608503692,1.402870827,2319270965,0,
178.0796783,188.0796783,1.979929585,0.800138733,-2.002450457,0.526849981,1.398724521,2329124312,0,
179.0796783,189.0796783,2.148414618,0.536864367,-2.100049796,0.648988014,1.404301668,2129223366,0,
180.0796783,190.0796783,2.065761049,0.567756779,-2.233556796,0.635683155,1.404072547,2027156417,0,
181.0796783,191.0796783,2.207449835,0.586362168,-1.938030868,0.5578408,1.29868176,1964426470,0,
182.0796783,192.0796783,2.296128087,0.578172259,-2.212508528,0.554212782,1.298677644,1874609852,0,
183.0796783,193.0796783,2.168959229,0.555060222,-2.086608595,0.504390334,1.298705832,1941421518,0,
184.0796783,194.0796783,2.46758563,0.544282332,-2.573340676,0.484999249,1.298797764,1871246940,0,
185.0796783,195.0796783,2.292808769,0.660822526,-2.340312787,0.654437219,1.39865966,1830440130,0,
186.0796783,196.0796783,2.070985467,0.584290444,-2.255355966,0.508589672,1.404200708,1860214274,0,
187.0796783,197.0796783,2.330969816,0.637486331,-1.976836423,0.633587724,1.39863452,1921601454,0,
188.0796783,198.0796783,2.377383282,0.538335072,-2.181274699,0.562828591,1.303899003,1837274516,0,
189.0796783,199.0796783,2.033077521,0.653696863,-2.515354636,0.550991374,1.298732758,1918359004,0,
190.0796783,200.0796783,2.256242667,0.536082131,-1.941320955,0.577481266,1.298805464,2024120472,0,
191.0796783,201.0796783,2.335308858,0.607865347,-2.235266248,0.660679489,1.303970728,1969528155,0,
192.0796783,202.0796783,2.085884457,0.521681327,-2.396962094,0.550076569,1.303993762,1876803627,0,
193.0796783,203.0796783,2.467477435,0.628367415,-2.351827862,0.562292203,1.303922613,1746082350,0,
194.0796783,204.0796783,2.080603477,0.662968467,-2.07004322,0.545662167,1.203677373,1808270756,0,
195.0796783,205.0796783,2.015963077,0.634048361,-2.317295167,0.51635619,1.40417476,2004208970,0,
196.0796783,206.0796783,2.174402862,0.512387888,-2.338708791,0.56224015,1.398640328,2087711450,0,
197.0796783,207.0796783,2.35807185,0.621708207,-2.125015451,0.646241188,1.398501273,2127424790,0,
198.0796783,208.0796783,2.20458912,0.622617551,-1.957925149,0.606509041,1.398598116,2441457284,0,
199.0796783,209.0796783,2.076388856,0.555097923,-2.222861132,0.62075614,1.298653039,2599089452,0,
200.0796783,210.0796783,2.500891056,0.366005889,-2.522238761,0.482364544,1.298769103,2652064352,0,
201.0796783,211.0796783,2.103876285,0.562735066,-2.062403364,0.637872367,1.298740522,2864859726,0,
202.0796783,212.0796783,2.047102167,0.683177827,-2.259930716,0.545473324,1.298774288,3064756386,0,
203.0796783,213.0796783,2.202056619,0.607449791,-2.287496861,0.638592781,1.29872261,3124497230,0,
204.0796783,214.0796783,2.205452676,0.549269134,-2.272846991,0.631821794,1.298733917,3177836200,0,
205.0796783,215.0796783,2.2818987,0.589618688,-2.237088928,0.654537759,1.297462887,2918557026,0,
206.0796783,216.0796783,2.254512725,0.552676425,-2.240240352,0.640785377,1.298704151,2777672180,0,
207.0796783,217.0796783,2.310672768,0.569429075,-2.638993589,0.42804493,1.298705741,2683490970,0,
208.0796783,218.0796783,1.984027875,0.579907388,-2.184914598,0.604874404,1.298714781,2509759346,0,
209.0796783,219.0796783,2.17583349,0.454774536,-2.25416717,0.68517245,1.298704907,2396748638,0,
210.0796783,220.0796783,2.190258181,0.519994065,-2.319670609,0.527469735,1.298619747,2359546770,0,
211.0796783,221.0796783,2.266058799,0.667097035,-2.240937766,0.688225092,1.29867031,2349482640,0,
212.0796783,222.0796783,2.317913999,0.631242672,-1.94141235,0.60596275,1.298746775,2357314870,0,
213.0796783,223.0796783,2.307009637,0.514332362,-2.487255197,0.5375568,1.298720565,2216392634,0,
214.0796783,224.0796783,2.099575707,0.647906352,-2.110032522,0.624579122,1.298640717,2132940010,0,
215.0796783,225.0796783,2.17134657,0.597754574,-2.347090116,0.537194205,1.298696205,2150273024,0,
216.0796783,226.0796783,2.025560629,0.590538395,-2.313833514,0.542354971,1.298752793,2134896708,0,
217.0796783,227.0796783,2.455820112,0.597252756,-2.216173879,0.586862031,1.298653911,2139719140,0,
218.0796783,228.0796783,2.330456579,0.513691932,-2.49720307,0.575659345,1.298682828,2089068924,0,
219.0796783,229.0796783,2.179151937,0.637632198,-2.134536317,0.491707925,1.298664683,2079586568,0,
220.0796783,230.0796783,2.275282002,0.731454419,-2.025201564,0.554533983,1.298685459,2031706602,0,
221.0796783,231.0796783,2.276816435,0.627970735,-2.316180925,0.56109849,1.303948653,1933738622,0,
222.0796783,232.0796783,2.021705757,0.485641343,-2.19192845,0.385623988,1.303911084,1993391510,0,
223.0796783,233.0796783,2.124099162,0.578107656,-2.081558855,0.55859118,1.304022484,2021112554,0,
224.0796783,234.0796783,2.54217119,0.449022392,-2.640620412,0.376777006,1.303767472,2025184679,0,
225.0796783,235.0796783,2.295265215,0.6345221,-2.255457894,0.566449295,1.302714602,2053924430,0,
226.0796783,236.0796783,2.517011062,0.444920623,-2.280368798,0.530084233,1.303881054,2065703036,0,
227.0796783,237.0796783,2.121630798,0.496453611,-1.868576173,0.567216705,1.303893305,2091165278,0,
228.0796783,238.0796783,2.319754608,0.494989896,-2.231200077,0.677521609,1.404292291,2072574231,0,
229.0796783,239.0796783,2.601650071,0.338685014,-2.292090263,0.651608764,1.40408455,2018999576,0,
230.0796783,240.0796783,1.805739074,0.57423055,-1.961773419,0.574013486,1.40425149,2029659612,0,
231.0796783,241.0796783,2.058570855,0.604597818,-2.105797061,0.648952573,1.398714629,1982449468,0,
232.0796783,242.0796783,2.435168101,0.481593346,-2.264706966,0.539132804,1.398614417,1828229840,0,
233.0796783,243.0796783,2.037110586,0.504087602,-2.020079247,0.424707508,1.39862672,1817688420,0,
234.0796783,244.0796783,2.17337799,0.722747635,-2.198217299,0.683943568,1.298668435,1795250574,0,
235.0796783,245.0796783,2.220674543,0.531102545,-2.536677295,0.591647886,1.298740743,1667545994,0,
236.0796783,246.0796783,2.061861408,0.686485981,-1.995736359,0.532811641,1.298658757,1737281380,0,
237.0796783,247.0796783,2.362814817,0.527421554,-2.285640198,0.652292458,1.298705871,1668947150,0,
238.0796783,248.0796783,2.484015421,0.511546976,-2.434582884,0.624509116,1.298659812,1654159586,0,
239.0796783,249.0796783,2.321126458,0.499907006,-1.793938554,0.547392376,1.39847137,1748407450,0,
240.0796783,250.0796783,2.276993857,0.596186214,-2.419319318,0.522362207,1.398459939,1755436684,0,
241.0796783,251.0796783,2.327719604,0.620502026,-2.398100024,0.541949685,1.398612214,1813490670,0,
242.0796783,252.0796783,2.235898079,0.514841095,-2.250731174,0.696468787,1.398702858,1899504090,0,
243.0796783,253.0796783,2.393286348,0.523046323,-2.469823401,0.577095485,1.398679105,1881680648,0,
244.0796783,254.0796783,2.197591232,0.627108321,-2.145682689,0.693757816,1.398702549,1932354728,0,
245.0796783,255.0796783,2.314183009,0.63913494,-1.931439735,0.55269601,1.398709648,1975434110,0,
246.0796783,256.0796783,2.397165715,0.484946851,-2.491064641,0.557946889,1.398650036,1939879998,0,
247.0796783,257.0796783,1.940789388,0.576241475,-2.304546168,0.564389525,1.398635684,2053752550,0,
248.0796783,258.0796783,2.106665297,0.596594855,-2.436997529,0.439222506,1.398627996,2000264022,0,
249.0796783,259.0796783,2.093650124,0.633802718,-2.019770557,0.605714831,1.398561462,1989279428,0,
250.0796783,260.0796783,2.083723975,0.600050724,-2.053358969,0.65087951,1.398597316,1936777900,0,
251.0796783,261.0796783,2.034624182,0.733879627,-2.264384118,0.61705102,1.398576752,1892181900,0,
252.0796783,262.0796783,2.280095293,0.597998602,-2.16347384,0.574768058,1.398474287,1802202224,0,
253.0796783,263.0796783,2.024022406,0.64391277,-2.143429912,0.5651514,1.398578323,1790303628,0,
254.0796783,264.0796783,2.241212937,0.634153713,-2.371830233,0.655742248,1.398661105,1688963576,0,
255.0796783,265.0796783,2.387152189,0.64391183,-2.231771299,0.588496365,1.498527486,1622886278,0,
256.0796783,266.0796783,1.965482834,0.699067288,-2.103304646,0.684043216,1.504384166,1578705293,0,
257.0796783,267.0796783,2.287738456,0.520465171,-2.387505006,0.500289621,1.498483553,1422673220,0,
258.0796783,268.0796783,2.166479708,0.41034146,-2.160118147,0.550904682,1.404316263,1444318538,0,
259.0796783,269.0796783,2.413369421,0.405078301,-2.456315033,0.5208982,1.398580104,1405391012,0,
260.0796783,270.0796783,2.334570429,0.618654044,-2.201143475,0.587555437,1.404148672,1410007463,0,
261.0796783,271.0796783,2.265472574,0.551494225,-2.50260635,0.519259288,1.398595352,1487686208,0,
262.0796783,272.0796783,2.289110005,0.560229761,-2.12698614,0.651768365,1.404160592,1545076643,0,
263.0796783,273.0796783,2.503055343,0.50889632,-2.6353908,0.400585216,1.404203211,1583128235,0,
264.0796783,274.0796783,2.236569061,0.642190523,-2.18164405,0.655221871,1.30512492,1698162077,0,
265.0796783,275.0796783,2.310184559,0.585028265,-2.105789024,0.619978129,1.303822901,1811493977,0,
266.0796783,276.0796783,2.106152478,0.506791752,-2.143526028,0.642426804,1.298651332,1930949840,0,
267.0796783,277.0796783,2.219155863,0.669417429,-2.305586248,0.482029142,1.303807055,1966169270,0,
268.0796783,278.0796783,2.445972407,0.506602387,-2.621382057,0.526171241,1.298806259,1987745340,0,
