Start Time (s),End Time (s),BPM,AVG Interval (s),STD Interval (s),Amplitude,Time V2P (s),Label,Label bin
110.63,170.63,83,0.717560976,0.061714547,523.7228916,0.606585366,1,0
111.63,171.63,84,0.716385542,0.06108612,522.5357143,0.605542169,1,0
112.63,172.63,84,0.714939759,0.060507363,521.3333333,0.604096386,1,0
113.63,173.63,84,0.714457831,0.060783103,518.3336134,0.600714286,1,0
114.63,174.63,84,0.713493976,0.060687502,520.25,0.602650602,1,0
115.63,175.63,84,0.71060241,0.060785013,519.3189076,0.60047619,1,0
116.63,176.63,84,0.70939759,0.059986934,518.6547619,0.599036145,1,0
117.63,177.63,85,0.708809524,0.05970971,517.7411765,0.598571429,1,0
118.63,178.63,85,0.708095238,0.059210605,518.6,0.597857143,1,0
119.63,179.63,84,0.706024096,0.056460665,515.7728291,0.59452381,1,0
120.63,180.63,85,0.705714286,0.055168265,518.5529412,0.595238095,1,0
121.63,181.63,85,0.704761905,0.054564863,518.0588235,0.59452381,1,0
122.63,182.63,86,0.704470588,0.053960898,518.4502052,0.594117647,1,0
123.63,183.63,85,0.702142857,0.051733553,518.0422709,0.593176471,1,0
124.63,184.63,85,0.701904762,0.051512278,514.3332421,0.589411765,1,0
125.63,185.63,86,0.700941176,0.050120409,516.3372093,0.590823529,1,0
126.63,186.63,85,0.69952381,0.048104667,515.9740082,0.590823529,1,0
127.63,187.63,85,0.698571429,0.046882397,514.6117647,0.588809524,1,0
128.63,188.63,86,0.698823529,0.046460907,514.4767442,0.588705882,1,0
129.63,189.63,86,0.697647059,0.045131105,513.8372093,0.588,1,0
130.63,190.63,86,0.696705882,0.044862882,514.0485164,0.587674419,1,0
131.63,191.63,86,0.695764706,0.044783833,512.4534884,0.586588235,1,0
132.63,192.63,87,0.694883721,0.043153167,512.5080192,0.58627907,1,0
133.63,193.63,86,0.693176471,0.04212619,512.0469126,0.585116279,1,0
134.63,194.63,86,0.693176471,0.04212619,508.7236033,0.581860465,1,0
