Start Time (s),End Time (s),Kurtosis D1,Kurtosis D2,Kurtosis D3,Kurtosis A4,Label bin,Label
759.0796783,819.0796783,3.181290415,0.242517657,-0.478766285,4.016846163,0,1
760.0796783,820.0796783,3.426563566,0.339737166,-0.572781248,4.019618286,0,1
761.0796783,821.0796783,3.233492599,0.109547728,-0.371294493,2.581399925,0,1
762.0796783,822.0796783,3.45551086,0.110619528,-0.334013627,1.793979114,0,1
763.0796783,823.0796783,3.367387452,0.088229572,-0.560952058,2.612361161,0,1
764.0796783,824.0796783,3.221237335,0.321233957,-0.378905662,4.634645965,0,1
765.0796783,825.0796783,3.497330552,0.180966139,-0.559004629,3.691394516,0,1
766.0796783,826.0796783,3.339703603,0.055623233,-0.733296642,3.674086549,0,1
767.0796783,827.0796783,3.566061314,0.130759731,-0.451524087,1.692628648,0,1
768.0796783,828.0796783,3.345838504,0.43361932,-0.51248906,1.679843868,0,1
769.0796783,829.0796783,3.422552766,0.192680523,-0.391042182,3.523011774,0,1
770.0796783,830.0796783,3.286634816,0.077098926,-0.47519042,5.928731158,0,1
771.0796783,831.0796783,3.491744975,0.137601184,-0.41572615,4.621444074,0,1
772.0796783,832.0796783,3.383765892,0.52879588,-0.522958978,1.570086493,0,1
773.0796783,833.0796783,3.600570906,0.223349693,-0.631896729,3.510360379,0,1
774.0796783,834.0796783,3.401175532,0.122925911,-0.612295608,6.121580215,0,1
775.0796783,835.0796783,3.552206359,0.208758984,-0.374963664,8.152449795,0,1
776.0796783,836.0796783,3.302270737,0.520269961,-0.271959867,0.887464338,0,1
777.0796783,837.0796783,3.683724669,0.170749054,-0.477482009,6.413522688,0,1
778.0796783,838.0796783,3.313656945,0.224419918,-0.32672551,3.201942976,0,1
779.0796783,839.0796783,3.600820575,0.348315083,-0.490738222,4.405937513,0,1
780.0796783,840.0796783,3.145756979,0.46298032,-0.405037475,6.913457334,0,1
781.0796783,841.0796783,3.650564756,0.373147914,-0.520576699,5.285256215,0,1
782.0796783,842.0796783,3.335593625,0.385685748,-0.39143249,2.766626733,0,1
783.0796783,843.0796783,3.590503468,0.210053484,-0.562240176,7.248178849,0,1
784.0796783,844.0796783,3.386397853,0.481771852,-0.421415682,3.774868635,0,1
785.0796783,845.0796783,3.530676205,0.576915595,-0.438243975,3.996648838,0,1
786.0796783,846.0796783,3.37165818,0.373929228,-0.387275451,8.153848573,0,1
787.0796783,847.0796783,3.675369444,0.402648965,-0.283375244,1.806309923,0,1
788.0796783,848.0796783,3.653950972,0.368416599,-0.324668232,3.361846184,0,1
789.0796783,849.0796783,3.646400051,0.571874267,-0.418422462,0.726603048,0,1
790.0796783,850.0796783,3.686995726,0.556840588,-0.366115845,5.015001547,0,1
791.0796783,851.0796783,3.539797777,0.237511755,-0.302655323,4.695999594,0,1
792.0796783,852.0796783,3.657033576,0.300822669,-0.443524734,3.578593322,0,1
793.0796783,853.0796783,3.55027877,0.429248977,-0.224085975,3.055524859,0,1
794.0796783,854.0796783,3.676610909,0.545444725,-0.445820074,6.019778462,0,1
795.0796783,855.0796783,3.6545828,0.519380968,-0.492365344,1.169099958,0,1
796.0796783,856.0796783,3.805355764,0.572559175,-0.253725574,1.257353991,0,1
797.0796783,857.0796783,3.759852671,0.544015117,-0.238927483,2.725527316,0,1
798.0796783,858.0796783,3.861787106,0.441062573,-0.560621223,0.70422079,0,1
799.0796783,859.0796783,3.693602144,0.461522646,-0.329265527,1.689807968,0,1
800.0796783,860.0796783,3.701993835,0.450470946,-0.412372894,2.582415633,0,1
801.0796783,861.0796783,3.823558608,0.718387485,-0.105149021,1.483254973,0,1
802.0796783,862.0796783,3.794202719,0.555811429,-0.351180781,1.439392746,0,1
803.0796783,863.0796783,3.541050949,0.430780574,-0.378516312,2.359474025,0,1
804.0796783,864.0796783,3.680581311,0.279916435,-0.262114961,2.400063074,0,1
805.0796783,865.0796783,3.725405828,0.617146431,-0.465980586,1.10250921,0,1
806.0796783,866.0796783,3.70929306,0.552408906,-0.446868235,2.446770514,0,1
807.0796783,867.0796783,3.673573826,0.560778084,-0.283607189,0.644010347,0,1
808.0796783,868.0796783,3.925748039,0.70473184,-0.415144204,0.523429994,0,1
809.0796783,869.0796783,3.77610992,0.562383217,-0.085484985,1.481278234,0,1
810.0796783,870.0796783,3.937405846,0.513590122,-0.364581385,2.436276578,0,1
811.0796783,871.0796783,3.721357274,0.55407957,-0.095369208,0.576292154,0,1
812.0796783,872.0796783,4.05627669,0.553810481,-0.046764128,4.376530398,0,1
813.0796783,873.0796783,3.878110034,0.604199776,-0.391416877,0.527267204,0,1
814.0796783,874.0796783,4.514734984,0.684614776,-0.273431305,1.360117059,0,1
815.0796783,875.0796783,3.889785496,0.629487822,-0.160932432,3.033584771,0,1
816.0796783,876.0796783,4.337667841,0.642888713,-0.189068149,0.340479835,0,1
817.0796783,877.0796783,3.687703696,0.907697795,0.107197001,0.68178615,0,1
818.0796783,878.0796783,4.35359134,0.621006078,-0.009872875,0.423123692,0,1
819.0796783,879.0796783,3.705186555,0.543649838,0.052751712,0.639519158,0,1
820.0796783,880.0796783,4.455259935,0.521350709,-0.10516568,0.39947855,0,1
821.0796783,881.0796783,3.786628959,0.509355604,-0.377666886,1.61771103,0,1
822.0796783,882.0796783,4.364930778,1.10791455,-0.188873329,1.733585821,0,1
823.0796783,883.0796783,3.818123742,0.677909276,0.049120096,1.687756881,0,1
824.0796783,884.0796783,4.530593247,0.424397763,-0.300835448,1.534661956,0,1
825.0796783,885.0796783,3.530694269,0.828901707,0.016554914,1.877190644,0,1
826.0796783,886.0796783,4.736975427,0.602218653,-0.023089417,0.359194338,0,1
827.0796783,887.0796783,3.460839445,0.639437394,-0.43063775,1.403449947,0,1
828.0796783,888.0796783,4.710393229,0.973091256,0.173780846,1.458964311,0,1
829.0796783,889.0796783,3.683803998,0.542028489,-0.403622601,1.289486805,0,1
830.0796783,890.0796783,4.883560786,0.494014127,-0.282578338,1.136473937,0,1
831.0796783,891.0796783,3.484236244,0.553160437,0.027162532,0.816605777,0,1
832.0796783,892.0796783,4.885539102,0.594397149,-0.476856086,1.825906957,0,1
833.0796783,893.0796783,3.518333605,0.432787505,-0.041529608,1.383113617,0,1
834.0796783,894.0796783,4.947233111,0.511608849,0.165040001,0.928758172,0,1
835.0796783,895.0796783,3.535360143,0.593314151,-0.32750004,2.270201561,0,1
836.0796783,896.0796783,4.668616246,0.651213412,0.129626499,0.846087367,0,1
837.0796783,897.0796783,4.687455369,0.51303747,-0.164804205,1.235082293,0,1
838.0796783,898.0796783,4.548369415,0.383520291,-0.116017156,0.950652278,0,1
839.0796783,899.0796783,3.778948792,0.561696028,0.072758339,1.427873552,0,1
840.0796783,900.0796783,4.816251869,0.618285304,-0.269653607,0.767852145,0,1
841.0796783,901.0796783,3.670215531,0.367019575,-0.157519719,2.029454609,0,1
842.0796783,902.0796783,5.169275775,0.526040521,0.204082469,2.027419666,0,1
843.0796783,903.0796783,5.051789855,0.6320827,0.180247282,1.315686824,0,1
844.0796783,904.0796783,3.631922597,0.512873069,-0.344758263,0.585930249,0,1
845.0796783,905.0796783,3.509045283,0.27589102,0.207864598,0.682512994,0,1
846.0796783,906.0796783,3.553261316,0.202060287,0.240395697,2.32235767,0,1
847.0796783,907.0796783,5.311214247,0.376752828,-0.160310096,0.886088827,0,1
848.0796783,908.0796783,3.383362118,0.5435818,0.117735989,0.882551497,0,1
849.0796783,909.0796783,5.269153801,1.062784642,-0.232018367,1.589522389,0,1
850.0796783,910.0796783,3.233433464,0.307945473,-0.063017625,2.554435727,0,1
851.0796783,911.0796783,5.350219846,0.449078373,0.066499252,1.82091012,0,1
852.0796783,912.0796783,3.534811481,0.573223483,-0.488006299,2.503678681,0,1
853.0796783,913.0796783,5.285600724,0.520891993,0.28539188,4.013610775,0,1
854.0796783,914.0796783,3.436186935,0.184273254,-0.165362788,0.792859707,0,1
855.0796783,915.0796783,5.068148432,0.380020763,0.882332486,0.877774602,0,1
856.0796783,916.0796783,3.503971709,1.206973254,0.228312932,2.968176467,0,1
857.0796783,917.0796783,5.309430136,0.811969319,0.003119862,1.974849701,0,1
858.0796783,918.0796783,3.606949507,0.347241136,-0.057123799,2.342753605,0,1
859.0796783,919.0796783,5.237364423,0.537061045,-0.226815929,6.975739057,0,1
860.0796783,920.0796783,3.468552427,0.602142604,-0.28904974,3.366157911,0,1
861.0796783,921.0796783,5.224252841,0.572906833,0.047421445,11.85793594,0,1
862.0796783,922.0796783,3.729769145,0.155893629,0.119324107,14.69358151,0,1
863.0796783,923.0796783,5.417534958,0.487412084,-0.30938448,1.89595613,0,1
864.0796783,924.0796783,3.827501373,0.686994589,0.115946117,19.03409475,0,1
865.0796783,925.0796783,5.18615627,0.513087013,-0.353361804,2.916960256,0,1
866.0796783,926.0796783,3.89219618,0.198217501,-0.333926872,5.382970682,0,1
867.0796783,927.0796783,4.931075658,0.428835294,-0.114509956,12.02610924,0,1
868.0796783,928.0796783,3.888753493,0.67981629,-0.438574053,6.323386453,0,1
869.0796783,929.0796783,4.910824575,0.506501907,-0.065043714,6.529427683,0,1
870.0796783,930.0796783,3.824552427,0.268916866,0.046646702,10.16138241,0,1
871.0796783,931.0796783,4.729686052,0.392531817,-0.440227896,13.15066674,0,1
872.0796783,932.0796783,3.6343552,0.555546725,-0.14109796,15.62856183,0,1
873.0796783,933.0796783,4.559199019,0.416241769,-0.306615813,25.46512102,0,1
874.0796783,934.0796783,3.786078303,0.288798661,-0.252661539,2.596589545,0,1
875.0796783,935.0796783,4.412767978,0.276700433,-0.291721544,36.41342902,0,1
876.0796783,936.0796783,3.751180726,0.61961834,-0.525655712,8.163337151,0,1
877.0796783,937.0796783,4.140182683,0.335885977,-0.298138584,26.44171659,0,1
878.0796783,938.0796783,3.59210476,0.2432706,-0.110974868,15.53570799,0,1
879.0796783,939.0796783,4.282144463,0.396226217,-0.389681828,9.878868101,0,1
880.0796783,940.0796783,3.702022215,0.523245128,-0.291823219,17.6245459,0,1
881.0796783,941.0796783,4.101263081,0.38664994,-0.375603429,4.539276262,0,1
882.0796783,942.0796783,3.594439558,0.244512385,-0.386320834,15.5755575,0,1
883.0796783,943.0796783,4.23484867,0.304677675,-0.341676592,3.815649407,0,1
884.0796783,944.0796783,4.166201953,0.388772288,-0.184405371,10.52086913,0,1
885.0796783,945.0796783,3.892986561,0.629333636,-0.398027132,4.913436682,0,1
886.0796783,946.0796783,3.938738483,0.233915913,-0.395011029,8.108652113,0,1
887.0796783,947.0796783,3.864180295,0.357565338,-0.525848921,13.84063438,0,1
888.0796783,948.0796783,3.771414714,0.515783688,-0.16885452,11.93167477,0,1
889.0796783,949.0796783,3.982099297,0.675292154,-0.124208614,9.34012377,0,1
890.0796783,950.0796783,4.016469731,0.210274141,-0.655644412,3.211010003,0,1
891.0796783,951.0796783,3.696971133,0.251725007,-0.465080279,18.46234457,0,1
892.0796783,952.0796783,3.977070589,0.708149097,-0.42329413,4.456628411,0,1
893.0796783,953.0796783,3.849600468,0.308697679,-0.184540686,5.212141612,0,1
894.0796783,954.0796783,3.947545583,0.210832853,-0.300961972,9.076656093,0,1
895.0796783,955.0796783,3.626647506,0.437828583,-0.271293017,8.839936222,0,1
896.0796783,956.0796783,4.027577076,0.622822229,-0.073917354,5.873464438,0,1
897.0796783,957.0796783,4.022121689,0.484518484,-0.403738567,9.283347504,0,1
898.0796783,958.0796783,3.563444458,0.124835778,-0.474329985,6.44460646,0,1
899.0796783,959.0796783,3.95011178,0.337333844,-0.481710285,3.463909508,0,1
900.0796783,960.0796783,3.646273399,0.418475417,-0.345172943,9.201516671,0,1
901.0796783,961.0796783,4.068246909,0.602427244,-0.513018051,5.118739376,0,1
902.0796783,962.0796783,3.472736133,0.063349379,-0.302044373,19.28398944,0,1
903.0796783,963.0796783,4.219756979,0.402176736,-0.124904126,5.837022649,0,1
904.0796783,964.0796783,3.48963419,0.538167015,-0.644713595,3.27660673,0,1
905.0796783,965.0796783,4.09825139,0.432063859,-0.405801208,33.61127168,0,1
906.0796783,966.0796783,3.448425109,0.244705453,-0.251982978,1.793324762,0,1
907.0796783,967.0796783,4.336911276,0.495019504,-0.538459897,15.27898935,0,1
908.0796783,968.0796783,3.27759282,0.397706697,-0.144713082,6.376580352,0,1
909.0796783,969.0796783,4.49139403,0.620483631,-0.495216237,4.470739682,0,1
910.0796783,970.0796783,3.426202051,0.278128377,-0.306469251,12.3416458,0,1
911.0796783,971.0796783,4.452009944,0.318535503,-0.331765635,4.94868291,0,1
912.0796783,972.0796783,3.353936158,0.506098555,-0.229684633,32.34755989,0,1
913.0796783,973.0796783,4.189912292,0.434234302,-0.20023282,15.56875812,0,1
914.0796783,974.0796783,3.394780381,0.056532243,-0.370171692,5.171072241,0,1
915.0796783,975.0796783,4.250169572,0.39932755,0.118351993,4.910296556,0,1
916.0796783,976.0796783,3.305699036,0.518514783,-0.155216694,6.106674435,0,1
917.0796783,977.0796783,3.959857071,0.458676085,-0.553259786,4.171517197,0,1
918.0796783,978.0796783,3.314009933,0.332430198,0.071780665,1.756651861,0,1
919.0796783,979.0796783,3.923458552,0.288716009,-0.041858194,0.234439351,0,1
920.0796783,980.0796783,3.404304104,0.315125858,-0.581726442,2.54938805,0,1
921.0796783,981.0796783,3.898104881,0.203141455,-0.528828555,3.524288116,0,1
922.0796783,982.0796783,3.303707606,-0.095156588,-0.100267705,3.014823369,0,1
923.0796783,983.0796783,3.69482063,0.401573805,-0.499358767,4.902868471,0,1
924.0796783,984.0796783,3.533176036,0.345904416,-0.394179624,4.993585579,0,1
925.0796783,985.0796783,3.612109565,0.124083052,-0.643475902,2.051134254,0,1
926.0796783,986.0796783,3.379144396,-0.011823902,-0.398004911,4.500804629,0,1
927.0796783,987.0796783,3.576805721,0.296703919,-0.580093666,0.857168134,0,1
928.0796783,988.0796783,3.375591897,0.138510421,-0.513830203,5.129890466,0,1
929.0796783,989.0796783,3.562540084,0.140037062,-0.588011195,-0.032278358,0,1
930.0796783,990.0796783,3.440476873,-0.025355249,-0.656702896,1.606790343,0,1
931.0796783,991.0796783,3.391410278,0.1669111,-0.394830244,1.487430905,0,1
932.0796783,992.0796783,3.428957761,0.142299993,-0.477251123,1.589124501,0,1
933.0796783,993.0796783,3.515803111,0.150013147,-0.572612895,1.926328698,0,1
934.0796783,994.0796783,3.325768662,-0.0709458,-0.361006202,1.726066075,0,1
935.0796783,995.0796783,3.513454898,0.200232287,-0.496884891,2.693380532,0,1
936.0796783,996.0796783,3.300555997,0.278288375,-0.440331566,-0.036152451,0,1
937.0796783,997.0796783,3.569789456,0.118655774,-0.653915847,3.300317183,0,1
938.0796783,998.0796783,3.493061345,-0.037049721,-0.600982492,1.782024738,0,1
939.0796783,999.0796783,3.566489281,0.167815413,-0.372302837,3.372726146,0,1
940.0796783,1000.079678,3.550490289,0.156928788,-0.539934579,3.013220108,0,1
