Time (real),IR Value raw,IR Value filtered,Time (s),Label_Detail
4/18/2025 13:45,127415,284,7.129792452,1
4/18/2025 13:45,127490,336,7.169927597,1
4/18/2025 13:45,127548,370,7.209462881,1
4/18/2025 13:45,127588,384,7.250038147,1
4/18/2025 13:45,127579,352,7.289800644,1
4/18/2025 13:45,127379,142,7.330096483,1
4/18/2025 13:45,126569,-626,7.370104074,1
4/18/2025 13:45,126180,-952,7.409439802,1
4/18/2025 13:45,126608,-491,7.449507952,1
4/18/2025 13:45,127006,-87,7.490470171,1
4/18/2025 13:45,127215,114,7.529970646,1
4/18/2025 13:45,127295,182,7.570153952,1
4/18/2025 13:45,127301,177,7.61011982,1
4/18/2025 13:45,127302,166,7.649696589,1
4/18/2025 13:45,127373,223,7.690055132,1
4/18/2025 13:45,127446,277,7.729884624,1
4/18/2025 13:45,127474,286,7.769728422,1
4/18/2025 13:45,127516,308,7.809711695,1
4/18/2025 13:45,127582,350,7.850088596,1
4/18/2025 13:45,127617,361,7.899479389,1
4/18/2025 13:45,127626,347,7.940360546,1
4/18/2025 13:45,127559,263,7.970060349,1
4/18/2025 13:45,126934,-340,8.010151863,1
4/18/2025 13:45,126395,-824,8.059564114,1
4/18/2025 13:45,126733,-455,8.100099564,1
4/18/2025 13:45,127098,-85,8.139759541,1
4/18/2025 13:45,127289,100,8.170085192,1
4/18/2025 13:45,127389,187,8.2198174,1
4/18/2025 13:45,127359,148,8.252432585,1
4/18/2025 13:45,127297,80,8.299673319,1
4/18/2025 13:45,127355,130,8.339642286,1
4/18/2025 13:45,127440,201,8.379802465,1
4/18/2025 13:45,127494,239,8.420212984,1
4/18/2025 13:45,127547,274,8.459491014,1
4/18/2025 13:45,127623,328,8.499823332,1
4/18/2025 13:45,127657,340,8.540007114,1
4/18/2025 13:45,127661,322,8.579966307,1
4/18/2025 13:45,127307,-30,8.619455576,1
4/18/2025 13:45,126371,-905,8.659501076,1
4/18/2025 13:45,126290,-925,8.699713707,1
4/18/2025 13:45,126740,-445,8.739970922,1
4/18/2025 13:45,127053,-124,8.780066967,1
4/18/2025 13:45,127247,66,8.820199251,1
4/18/2025 13:45,127322,132,8.859671831,1
4/18/2025 13:45,127281,85,8.899542332,1
4/18/2025 13:45,127277,76,8.939470053,1
4/18/2025 13:45,127388,176,8.979820013,1
4/18/2025 13:45,127471,243,9.019802094,1
4/18/2025 13:45,127536,288,9.060177565,1
4/18/2025 13:45,127587,318,9.099776983,1
4/18/2025 13:45,127632,341,9.14027977,1
4/18/2025 13:45,127670,355,9.180009604,1
4/18/2025 13:45,127599,266,9.220021486,1
4/18/2025 13:45,126817,-484,9.259591818,1
4/18/2025 13:45,125922,-1292,9.300190926,1
4/18/2025 13:45,126106,-1039,9.339757919,1
4/18/2025 13:45,126569,-540,9.3802948,1
4/18/2025 13:45,126883,-212,9.420167923,1
4/18/2025 13:45,127142,44,9.460113764,1
4/18/2025 13:45,127234,128,9.500118732,1
4/18/2025 13:45,127230,116,9.539426804,1
4/18/2025 13:45,127250,128,9.579531193,1
4/18/2025 13:45,127330,195,9.620059967,1
4/18/2025 13:45,127431,277,9.659714937,1
4/18/2025 13:45,127510,334,9.699877501,1
4/18/2025 13:45,127535,337,9.740377665,1
4/18/2025 13:45,127588,365,9.780028343,1
4/18/2025 13:45,127661,411,9.81951642,1
4/18/2025 13:45,127538,270,9.859934807,1
4/18/2025 13:45,126492,-728,9.899671555,1
4/18/2025 13:45,125673,-1450,9.940050125,1
4/18/2025 13:45,125968,-1083,9.979870558,1
4/18/2025 13:45,126560,-460,10.02031946,1
4/18/2025 13:45,126989,-29,10.06009007,1
4/18/2025 13:45,127259,226,10.09978127,1
4/18/2025 13:45,127306,256,10.13992047,1
4/18/2025 13:45,127244,182,10.18008542,1
4/18/2025 13:45,127218,146,10.21958709,1
4/18/2025 13:45,127278,193,10.26014018,1
4/18/2025 13:45,127390,286,10.30035448,1
4/18/2025 13:45,127498,370,10.34039354,1
4/18/2025 13:45,127567,411,10.39025497,1
4/18/2025 13:45,127650,463,10.42954779,1
4/18/2025 13:45,127728,508,10.47009802,1
4/18/2025 13:45,127675,426,10.50965071,1
4/18/2025 13:45,126945,-285,10.54968047,1
4/18/2025 13:45,125946,-1204,10.58990097,1
4/18/2025 13:45,126110,-975,10.62986565,1
4/18/2025 13:45,126867,-204,10.66956592,1
4/18/2025 13:45,127194,115,10.70952344,1
4/18/2025 13:45,127337,242,10.74961734,1
4/18/2025 13:45,127396,283,10.78982973,1
4/18/2025 13:45,127307,181,10.8301394,1
