Time (real),IR Value raw,IR Value filtered,Time (s)
2025-06-19 22:58:00,102147,180,3.8511624336242676
2025-06-19 22:58:00,102169,189,3.8714475631713867
2025-06-19 22:58:00,102181,189,3.8918230533599854
2025-06-19 22:58:00,102207,201,3.911376476287842
2025-06-19 22:58:00,102223,204,3.9312565326690674
2025-06-19 22:58:00,102244,211,3.9512779712677
2025-06-19 22:58:00,102263,215,3.972003221511841
2025-06-19 22:58:00,102250,190,3.991168260574341
2025-06-19 22:58:00,102109,46,4.0111777782440186
2025-06-19 22:58:00,101871,-180,4.031677961349487
2025-06-19 22:58:00,101646,-380,4.051955461502075
2025-06-19 22:58:00,101495,-498,4.071568965911865
2025-06-19 22:58:00,101468,-492,4.093566417694092
2025-06-19 22:58:00,101516,-416,4.113583326339722
2025-06-19 22:58:00,101592,-319,4.134133577346802
2025-06-19 22:58:01,101656,-239,4.153209924697876
2025-06-19 22:58:01,101706,-177,4.173581838607788
2025-06-19 22:58:01,101758,-117,4.193610429763794
2025-06-19 22:58:01,101804,-67,4.213939428329468
2025-06-19 22:58:01,101828,-40,4.2333738803863525
2025-06-19 22:58:01,101824,-41,4.253392457962036
2025-06-19 22:58:01,101804,-57,4.273873567581177
2025-06-19 22:58:01,101789,-68,4.29389500617981
2025-06-19 22:58:01,101788,-64,4.313926458358765
2025-06-19 22:58:01,101812,-38,4.333969593048096
2025-06-19 22:58:01,101836,-13,4.353977680206299
2025-06-19 22:58:01,101870,20,4.373048782348633
2025-06-19 22:58:01,101910,56,4.393112421035767
2025-06-19 22:58:01,101949,89,4.413696765899658
2025-06-19 22:58:01,101972,105,4.433289289474487
2025-06-19 22:58:01,101989,115,4.453998804092407
2025-06-19 22:58:01,102012,129,4.473763465881348
2025-06-19 22:58:01,102023,131,4.493783712387085
2025-06-19 22:58:01,102056,154,4.513329982757568
2025-06-19 22:58:01,102116,201,4.533970355987549
2025-06-19 22:58:01,102095,168,4.553983688354492
2025-06-19 22:58:01,102043,109,4.573922395706177
2025-06-19 22:58:01,102005,67,4.593938827514648
2025-06-19 22:58:01,101991,50,4.613921880722046
2025-06-19 22:58:01,101991,46,4.63335394859314
2025-06-19 22:58:01,101923,-20,4.6533522605896
2025-06-19 22:58:01,101745,-186,4.673370838165283
2025-06-19 22:58:01,101514,-391,4.693864822387695
2025-06-19 22:58:01,101284,-582,4.713876247406006
2025-06-19 22:58:01,101158,-664,4.733799695968628
2025-06-19 22:58:01,101134,-645,4.753804683685303
2025-06-19 22:58:01,101182,-559,4.773319959640503
2025-06-19 22:58:01,101233,-476,4.79333233833313
2025-06-19 22:58:01,101288,-395,4.8135459423065186
2025-06-19 22:58:01,101342,-320,4.834099531173706
2025-06-19 22:58:01,101399,-246,4.854100227355957
2025-06-19 22:58:01,101441,-191,4.874143362045288
2025-06-19 22:58:01,101465,-157,4.893347263336182
2025-06-19 22:58:01,101481,-132,4.913377046585083
2025-06-19 22:58:01,101496,-110,4.933412313461304
2025-06-19 22:58:01,101500,-99,4.955427646636963
2025-06-19 22:58:01,101511,-83,4.975982666015625
2025-06-19 22:58:01,101528,-61,4.995431423187256
2025-06-19 22:58:01,101555,-32,5.015308856964111
2025-06-19 22:58:01,101614,25,5.03530478477478
2025-06-19 22:58:01,101658,65,5.055315732955933
2025-06-19 22:58:01,101688,89,5.075341701507568
2025-06-19 22:58:01,101715,109,5.095834970474243
2025-06-19 22:58:01,101733,119,5.115846633911133
2025-06-19 22:58:01,101746,124,5.135868072509766
2025-06-19 22:58:02,101745,115,5.1554954051971436
2025-06-19 22:58:02,101736,99,5.175409555435181
2025-06-19 22:58:02,101722,80,5.19541597366333
2025-06-19 22:58:02,101738,90,5.215437650680542
2025-06-19 22:58:02,101743,89,5.235161304473877
2025-06-19 22:58:02,101721,63,5.255737543106079
2025-06-19 22:58:02,101707,46,5.275393486022949
2025-06-19 22:58:02,101629,-30,5.295402765274048
2025-06-19 22:58:02,101457,-189,5.315737724304199
2025-06-19 22:58:02,101249,-372,5.335937023162842
2025-06-19 22:58:02,101072,-515,5.355942010879517
2025-06-19 22:58:02,100973,-576,5.375521659851074
2025-06-19 22:58:02,100955,-557,5.395417213439941
2025-06-19 22:58:02,100967,-510,5.41547155380249
2025-06-19 22:58:02,100962,-483,5.435288667678833
2025-06-19 22:58:02,100964,-451,5.455299377441406
2025-06-19 22:58:02,100999,-390,5.475490570068359
2025-06-19 22:58:02,101065,-304,5.4955103397369385
2025-06-19 22:58:02,101107,-245,5.515342712402344
2025-06-19 22:58:02,101109,-228,5.535881519317627
2025-06-19 22:58:02,101078,-243,5.555444955825806
2025-06-19 22:58:02,101051,-253,5.575933456420898
2025-06-19 22:58:02,101041,-247,5.595360279083252
2025-06-19 22:58:02,101061,-212,5.615294933319092
